airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
09XS,90,90,CONC,0,0,H1,
09Y,8000,500,WATER,0,0,17,35
0AA7,2539,100,Turf,0,0,18,36
0AK,2541,55,GRVL-F,1,0,7,25
0AK0,1050,70,TURF-G,0,0,8,26
0AK1,3000,2000,WATER,0,0,06W,24W
0AK1,2200,50,GRAVEL,0,0,8,26
0AK2,1000,150,TURF-DIRT,0,0,3,21
0AK3,900,100,TURF,0,0,14,32
0AK5,1550,120,TURF,0,0,2,20
0AK6,1700,60,DIRT,0,0,11,29
0AK7,2400,75,GRVL,1,0,6,24
0AK8,150,150,GVL,0,0,H1,H1
0AK9,2000,30,GRVL,0,0,17,35
0AL0,90,90,ASPH,0,0,H1,
0AL1,2640,70,TURF,0,0,17,35
0AL2,24,21,CONC,0,0,H1,
0AL3,24,24,CONC,0,0,H1,
0AL4,30,30,CONC,0,0,H1,
0AL5,2200,100,TURF,0,0,15,33
0AL6,49,49,ASPH,0,0,H1,
0AL7,30,30,CONC,0,0,H1,
0AL8,55,55,ASPH,0,0,H1,
0AL9,2200,50,TURF,0,0,9,27
0AR0,60,60,ASPH,1,0,H1,
0AR2,2800,60,TURF-GRVL,0,0,18,36
0AR3,2000,50,TURF,0,0,E,W
0AR4,11,11,ASPH,0,0,H1,
0AR5,42,42,CONC,0,0,H1,
0AR6,20,20,CONC,0,0,H1,
0AR7,2200,50,TURF,0,0,18,36
0AR8,30,30,CONC,0,0,H1,
0AR9,10,10,ASPH,0,0,H1,
0AZ0,40,40,MATS,1,0,H1,
0AZ1,2000,40,DIRT,0,0,3,21
0AZ1,3250,50,DIRT,0,0,14,32
0AZ1,2500,75,DIRT,0,0,16,34
0AZ2,1500,100,GRVL,0,0,12,30
0AZ2,3500,100,ASPH,0,0,17,35
0AZ4,2900,130,TURF,0,0,1,19
0AZ5,1400,60,ASPH-DIRT,0,0,17,35
0AZ6,40,45,CONC,0,0,H1,
0AZ6,40,45,CONC,0,0,H2,
0AZ6,40,45,CONC,0,0,H3,
0AZ7,50,50,CONC,0,0,H1,
